City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
332,los llanos de aridane,28.6585,-17.9182,55.15,63,0,10.36,ES,1675299364
333,carauari,-4.8828,-66.8958,73.71,97,100,1.32,BR,1675299364
334,lokosovo,61.1333,74.8167,6.49,98,100,5.44,RU,1675299365
335,bengkulu,-3.8004,102.2655,77.38,82,92,4.38,ID,1675299366
336,harper,4.375,-7.7169,79.21,86,5,7.92,LR,1675298883
337,pachino,36.7186,15.0907,50.7,70,100,11.56,IT,1675299367
338,le pradet,43.1066,6.0172,47.62,69,0,0.0,FR,1675299369
339,pinotepa nacional,16.3167,-98.0167,72.97,68,0,1.99,MX,1675299369
340,yuncheng,35.0231,110.9928,34.11,23,100,5.79,CN,1675299370
341,grasse,43.6667,6.9167,42.78,86,0,5.75,FR,1675299371
342,moron,-34.6534,-58.6198,77.05,79,100,8.32,AR,1675299372
343,pozoblanco,38.3791,-4.8483,35.89,70,0,1.95,ES,1675299373
344,erdaojiang,41.7764,126.0319,9.27,86,59,1.19,CN,1675299373
345,taltal,-25.4,-70.4833,70.05,81,51,4.29,CL,1675298848
346,smithers,54.7804,-127.1743,32.32,93,100,0.0,CA,1675298869
347,guerrero negro,27.9769,-114.0611,58.53,54,0,11.18,MX,1675299374
348,badiraguato,25.3667,-107.5167,66.7,90,100,2.89,MX,1675299375
349,primorka,47.2836,39.0625,32.16,89,100,7.9,RU,1675299375
350,ilhabela,-23.7781,-45.3581,76.86,87,100,5.08,BR,1675299376
351,dunedin,-45.8742,170.5036,70.7,74,94,5.93,NZ,1675299232
352,mar del plata,-38.0023,-57.5575,69.87,79,100,10.36,AR,1675299263
353,chimbote,-9.0853,-78.5783,70.84,80,92,5.23,PE,1675299378
354,dubbo,-32.25,148.6167,86.13,26,0,9.22,AU,1675299361
355,bagdarin,54.4333,113.6,-5.78,87,98,2.84,RU,1675299379
356,port moresby,-9.4431,147.1797,83.62,84,40,17.27,PG,1675299380
357,abyek,36.0667,50.55,35.2,68,39,4.16,IR,1675299383
358,pontianak,-0.0333,109.3333,75.18,94,40,3.44,ID,1675299384
359,vila velha,-20.3297,-40.2925,78.75,88,0,11.5,BR,1675299384
